--- LOG FILE START ---

Timestamp: 2022-03-13 14:01:35.221209600
SessionID: 3627106287809831984
UserID: 1
BikeModel: BIKE27
Programme Type: lose weight
SoftwareVersion: 27


1.0   HeartRateRaw: 0.0   HeartRateReg: 0.0   Power: 0.0   Resistance: 0.0   RPM: 0.0
2.0   HeartRateRaw: 0.0   HeartRateReg: 0.0   Power: 4.0   Resistance: 0.0   RPM: 23.0
3.0   HeartRateRaw: 90.5   HeartRateReg: 18.5   Power: 5.5   Resistance: 20.0   RPM: 23.5
4.0   HeartRateRaw: 181.0   HeartRateReg: 37.0   Power: 7.0   Resistance: 40.0   RPM: 24.0
5.0   HeartRateRaw: 125.5   HeartRateReg: 37.5   Power: 8.0   Resistance: 40.0   RPM: 26.0
6.0   HeartRateRaw: 70.0   HeartRateReg: 38.0   Power: 9.0   Resistance: 40.0   RPM: 28.0
7.0   HeartRateRaw: 80.5   HeartRateReg: 40.0   Power: 10.0   Resistance: 40.0   RPM: 30.0
8.0   HeartRateRaw: 91.0   HeartRateReg: 42.0   Power: 11.0   Resistance: 40.0   RPM: 32.0
9.0   HeartRateRaw: 112.0   HeartRateReg: 46.0   Power: 9.0   Resistance: 40.0   RPM: 28.0
10.0   HeartRateRaw: 112.5   HeartRateReg: 47.5   Power: 9.5   Resistance: 40.0   RPM: 28.5
11.0   HeartRateRaw: 113.0   HeartRateReg: 49.0   Power: 10.0   Resistance: 40.0   RPM: 29.0
12.0   HeartRateRaw: 114.5   HeartRateReg: 50.0   Power: 10.0   Resistance: 40.0   RPM: 29.0
13.0   HeartRateRaw: 116.0   HeartRateReg: 51.0   Power: 10.0   Resistance: 40.0   RPM: 29.0
14.0   HeartRateRaw: 113.0   HeartRateReg: 52.0   Power: 9.5   Resistance: 40.0   RPM: 28.5
15.0   HeartRateRaw: 110.0   HeartRateReg: 53.0   Power: 9.0   Resistance: 40.0   RPM: 28.0
16.0   HeartRateRaw: 112.5   HeartRateReg: 52.5   Power: 9.0   Resistance: 40.0   RPM: 28.0
Error: 1001
17.0   HeartRateRaw: 115.0   HeartRateReg: 52.0   Power: 9.0   Resistance: 40.0   RPM: 28.0
18.0   HeartRateRaw: 118.0   HeartRateReg: 52.0   Power: 11.0   Resistance: 40.0   RPM: 32.0
19.0   HeartRateRaw: 124.5   HeartRateReg: 53.0   Power: 11.0   Resistance: 40.0   RPM: 31.0
20.0   HeartRateRaw: 131.0   HeartRateReg: 54.0   Power: 11.0   Resistance: 40.0   RPM: 30.0
21.0   HeartRateRaw: 101.0   HeartRateReg: 55.5   Power: 11.0   Resistance: 40.0   RPM: 30.0
22.0   HeartRateRaw: 71.0   HeartRateReg: 57.0   Power: 11.0   Resistance: 40.0   RPM: 30.0
23.0   HeartRateRaw: 94.5   HeartRateReg: 57.5   Power: 11.0   Resistance: 40.0   RPM: 30.5
24.0   HeartRateRaw: 118.0   HeartRateReg: 58.0   Power: 11.0   Resistance: 40.0   RPM: 31.0
